NOC,Gold,Silver,Bronze,Total,Year
GBR,0,0,1,1,1998
BEL,0,0,1,1,1998
AUS,0,0,1,1,1998
USA,37,24,32,93,2000
RUS,32,28,29,89,2000
CHN,28,16,14,58,2000
AUS,16,25,17,58,2000
GER,13,17,26,56,2000
FRA,13,14,11,38,2000
ITA,13,8,13,34,2000
NED,12,9,4,25,2000
CUB,11,11,7,29,2000
GBR,11,10,7,28,2000
ROU,11,6,9,26,2000
KOR,8,10,10,28,2000
HUN,8,6,3,17,2000
POL,6,5,3,14,2000
JPN,5,8,5,18,2000
BUL,5,6,2,13,2000
GRE,4,6,3,13,2000
SWE,4,5,3,12,2000
NOR,4,3,3,10,2000
ETH,4,1,3,8,2000
UKR,3,10,10,23,2000
KAZ,3,4,0,7,2000
BLR,3,3,11,17,2000
CAN,3,3,8,14,2000
ESP,3,3,5,11,2000
TUR,3,0,2,5,2000
IRI,3,0,1,4,2000
CZE,2,3,3,8,2000
KEN,2,3,2,7,2000
DEN,2,3,1,6,2000
FIN,2,1,1,4,2000
AUT,2,1,0,3,2000
LTU,2,0,3,5,2000
BAH,2,0,1,3,2000
AZE,2,0,1,3,2000
SLO,2,0,0,2,2000
SUI,1,6,2,9,2000
INA,1,3,2,6,2000
SVK,1,3,1,5,2000
MEX,1,2,3,6,2000
NGR,1,2,0,3,2000
ALG,1,1,3,5,2000
UZB,1,1,2,4,2000
YUG,1,1,1,3,2000
LAT,1,1,1,3,2000
NZL,1,0,3,4,2000
THA,1,0,2,3,2000
EST,1,0,2,3,2000
CRO,1,0,1,2,2000
CMR,1,0,0,1,2000
COL,1,0,0,1,2000
MOZ,1,0,0,1,2000
BRA,0,6,6,12,2000
JAM,0,6,3,9,2000
BEL,0,2,3,5,2000
RSA,0,2,3,5,2000
ARG,0,2,2,4,2000
MAR,0,1,4,5,2000
TPE,0,1,4,5,2000
PRK,0,1,3,4,2000
TTO,0,1,1,2,2000
KSA,0,1,1,2,2000
MDA,0,1,1,2,2000
URU,0,1,0,1,2000
VIE,0,1,0,1,2000
IRL,0,1,0,1,2000
SRI,0,1,0,1,2000
GEO,0,0,6,6,2000
CRC,0,0,2,2,2000
POR,0,0,2,2,2000
BAR,0,0,1,1,2000
QAT,0,0,1,1,2000
KGZ,0,0,1,1,2000
IND,0,0,1,1,2000
ARM,0,0,1,1,2000
KUW,0,0,1,1,2000
MKD,0,0,1,1,2000
CHI,0,0,1,1,2000
ISL,0,0,1,1,2000
NOR,13,5,7,25,2002
GER,12,16,8,36,2002
USA,10,13,11,34,2002
CAN,7,3,7,17,2002
RUS,5,4,4,13,2002
FRA,4,5,2,11,2002
ITA,4,4,5,13,2002
FIN,4,2,1,7,2002
NED,3,5,0,8,2002
AUT,3,4,10,17,2002
SUI,3,2,6,11,2002
CRO,3,1,0,4,2002
CHN,2,2,4,8,2002
KOR,2,2,0,4,2002
AUS,2,0,0,2,2002
CZE,1,2,0,3,2002
EST,1,1,1,3,2002
GBR,1,0,1,2,2002
SWE,0,2,5,7,2002
BUL,0,1,2,3,2002
POL,0,1,1,2,2002
JPN,0,1,1,2,2002
BLR,0,0,1,1,2002
SLO,0,0,1,1,2002
USA,36,39,26,101,2004
CHN,32,17,15,64,2004
RUS,28,26,36,90,2004
AUS,17,16,17,50,2004
JPN,16,9,12,37,2004
GER,13,16,20,49,2004
FRA,11,9,13,33,2004
ITA,10,11,11,32,2004
KOR,9,12,9,30,2004
GBR,9,9,12,30,2004
CUB,9,7,11,27,2004
HUN,8,6,3,17,2004
UKR,8,5,9,22,2004
ROU,8,5,6,19,2004
GRE,6,6,4,16,2004
BRA,5,2,3,10,2004
NOR,5,0,1,6,2004
NED,4,9,9,22,2004
SWE,4,2,1,7,2004
ESP,3,11,6,20,2004
CAN,3,6,3,12,2004
TUR,3,4,4,11,2004
POL,3,2,5,10,2004
NZL,3,2,0,5,2004
THA,3,1,4,8,2004
BLR,2,5,7,14,2004
AUT,2,4,1,7,2004
ETH,2,3,2,7,2004
IRI,2,2,2,6,2004
SVK,2,2,2,6,2004
TPE,2,2,1,5,2004
GEO,2,2,0,4,2004
BUL,2,1,9,12,2004
DEN,2,1,5,8,2004
UZB,2,1,2,5,2004
JAM,2,1,2,5,2004
MAR,2,1,0,3,2004
ARG,2,0,4,6,2004
CHI,2,0,1,3,2004
KAZ,1,4,3,8,2004
KEN,1,4,2,7,2004
CZE,1,3,5,9,2004
RSA,1,3,2,6,2004
CRO,1,2,2,5,2004
LTU,1,2,0,3,2004
SUI,1,1,3,5,2004
EGY,1,1,3,5,2004
INA,1,1,2,4,2004
ZIM,1,1,1,3,2004
AZE,1,0,4,5,2004
BEL,1,0,2,3,2004
ISR,1,0,1,2,2004
BAH,1,0,1,2,2004
DOM,1,0,0,1,2004
CMR,1,0,0,1,2004
UAE,1,0,0,1,2004
PRK,0,4,1,5,2004
LAT,0,4,0,4,2004
MEX,0,3,1,4,2004
POR,0,2,1,3,2004
FIN,0,2,0,2,2004
SCG,0,2,0,2,2004
SLO,0,1,3,4,2004
EST,0,1,2,3,2004
HKG,0,1,0,1,2004
IND,0,1,0,1,2004
PAR,0,1,0,1,2004
COL,0,0,2,2,2004
NGR,0,0,2,2,2004
VEN,0,0,2,2,2004
SYR,0,0,1,1,2004
TTO,0,0,1,1,2004
ERI,0,0,1,1,2004
MGL,0,0,1,1,2004
GER,11,12,6,29,2006
USA,9,9,7,25,2006
AUT,9,7,7,23,2006
RUS,8,6,8,22,2006
CAN,7,10,7,24,2006
SWE,7,2,5,14,2006
KOR,6,3,2,11,2006
SUI,5,4,5,14,2006
ITA,5,0,6,11,2006
FRA,3,2,4,9,2006
NED,3,2,4,9,2006
EST,3,0,0,3,2006
NOR,2,8,9,19,2006
CHN,2,4,5,11,2006
CZE,1,2,1,4,2006
CRO,1,2,0,3,2006
AUS,1,0,1,2,2006
JPN,1,0,0,1,2006
FIN,0,6,3,9,2006
POL,0,1,1,2,2006
BLR,0,1,0,1,2006
GBR,0,1,0,1,2006
BUL,0,1,0,1,2006
SVK,0,1,0,1,2006
UKR,0,0,2,2,2006
LAT,0,0,1,1,2006
CAN,14,7,5,26,2010
GER,10,13,7,30,2010
USA,9,15,13,37,2010
NOR,9,8,6,23,2010
KOR,6,6,2,14,2010
SUI,6,0,3,9,2010
CHN,5,2,4,11,2010
SWE,5,2,4,11,2010
AUT,4,6,6,16,2010
NED,4,1,3,8,2010
RUS,3,5,7,15,2010
FRA,2,3,6,11,2010
AUS,2,1,0,3,2010
CZE,2,0,4,6,2010
POL,1,3,2,6,2010
ITA,1,1,3,5,2010
BLR,1,1,1,3,2010
SVK,1,1,1,3,2010
GBR,1,0,0,1,2010
JPN,0,3,2,5,2010
SLO,0,2,1,3,2010
CRO,0,2,1,3,2010
LAT,0,2,0,2,2010
FIN,0,1,4,5,2010
KAZ,0,1,0,1,2010
EST,0,1,0,1,2010
USA,48,26,30,104,2012
CHN,39,31,22,92,2012
GBR,29,18,18,65,2012
RUS,18,21,26,65,2012
KOR,13,9,9,31,2012
GER,11,20,13,44,2012
FRA,11,11,13,35,2012
AUS,8,15,12,35,2012
ITA,8,9,11,28,2012
HUN,8,4,6,18,2012
JPN,7,14,17,38,2012
IRI,7,5,1,13,2012
NED,6,6,8,20,2012
NZL,6,2,5,13,2012
UKR,5,4,10,19,2012
CUB,5,3,7,15,2012
ESP,4,10,6,20,2012
JAM,4,5,4,13,2012
CZE,4,4,3,11,2012
RSA,4,1,1,6,2012
PRK,4,0,3,7,2012
BRA,3,5,9,17,2012
KAZ,3,2,6,11,2012
POL,3,2,6,11,2012
ETH,3,2,3,8,2012
CRO,3,1,2,6,2012
CAN,2,6,10,18,2012
BLR,2,5,3,10,2012
KEN,2,4,7,13,2012
DEN,2,4,3,9,2012
ROU,2,4,1,7,2012
AZE,2,2,5,9,2012
SUI,2,2,0,4,2012
NOR,2,1,1,4,2012
LTU,2,0,3,5,2012
TUN,2,0,1,3,2012
SWE,1,4,3,8,2012
COL,1,3,5,9,2012
MEX,1,3,4,8,2012
GEO,1,2,3,6,2012
IRL,1,1,4,6,2012
ARG,1,1,2,4,2012
SLO,1,1,2,4,2012
TTO,1,1,2,4,2012
SRB,1,1,2,4,2012
TUR,1,1,1,3,2012
DOM,1,1,0,2,2012
TPE,1,0,1,2,2012
LAT,1,0,1,2,2012
BAH,1,0,0,1,2012
ALG,1,0,0,1,2012
GRN,1,0,0,1,2012
VEN,1,0,0,1,2012
BRN,1,0,0,1,2012
UGA,1,0,0,1,2012
EGY,0,3,1,4,2012
IND,0,2,4,6,2012
MGL,0,2,3,5,2012
THA,0,2,2,4,2012
INA,0,2,1,3,2012
BUL,0,2,1,3,2012
FIN,0,2,1,3,2012
SVK,0,1,3,4,2012
BEL,0,1,2,3,2012
MAS,0,1,1,2,2012
QAT,0,1,1,2,2012
ARM,0,1,1,2,2012
EST,0,1,1,2,2012
PUR,0,1,1,2,2012
GUA,0,1,0,1,2012
CYP,0,1,0,1,2012
BOT,0,1,0,1,2012
POR,0,1,0,1,2012
MNE,0,1,0,1,2012
GAB,0,1,0,1,2012
UZB,0,0,3,3,2012
SIN,0,0,2,2,2012
GRE,0,0,2,2,2012
VIE,0,0,1,1,2012
MAR,0,0,1,1,2012
TJK,0,0,1,1,2012
KUW,0,0,1,1,2012
HKG,0,0,1,1,2012
CMR,0,0,1,1,2012
KSA,0,0,1,1,2012
AFG,0,0,1,1,2012
RUS,11,9,9,29,2014
NOR,11,6,9,26,2014
CAN,10,10,5,25,2014
USA,9,9,10,28,2014
NED,8,7,9,24,2014
GER,8,6,5,19,2014
SUI,7,2,2,11,2014
BLR,5,0,1,6,2014
AUT,4,8,5,17,2014
FRA,4,4,7,15,2014
POL,4,1,1,6,2014
CHN,3,4,2,9,2014
KOR,3,3,2,8,2014
SWE,2,7,6,15,2014
CZE,2,4,3,9,2014
SLO,2,2,4,8,2014
JPN,1,4,3,8,2014
FIN,1,3,1,5,2014
GBR,1,1,3,5,2014
LAT,1,1,3,5,2014
UKR,1,1,0,2,2014
SVK,1,0,0,1,2014
ITA,0,2,7,9,2014
AUS,0,2,1,3,2014
CRO,0,1,0,1,2014
KAZ,0,0,1,1,2014
USA,46,37,38,121,2016
GBR,27,23,17,67,2016
CHN,26,18,26,70,2016
RUS,19,17,20,56,2016
GER,17,10,15,42,2016
JPN,12,8,21,41,2016
FRA,10,18,14,42,2016
KOR,9,3,9,21,2016
ITA,8,12,8,28,2016
AUS,8,11,10,29,2016
NED,8,7,4,19,2016
HUN,8,3,4,15,2016
BRA,7,6,6,19,2016
ESP,7,4,6,17,2016
KEN,6,6,1,13,2016
JAM,6,3,2,11,2016
CRO,5,3,2,10,2016
CUB,5,2,4,11,2016
NZL,4,9,5,18,2016
CAN,4,3,15,22,2016
UZB,4,2,7,13,2016
COL,3,2,3,8,2016
SUI,3,2,2,7,2016
IRI,3,1,4,8,2016
GRE,3,1,2,6,2016
ARG,3,1,0,4,2016
DEN,2,6,7,15,2016
SWE,2,6,3,11,2016
RSA,2,6,2,10,2016
KAZ,2,5,10,17,2016
UKR,2,5,4,11,2016
SRB,2,4,2,8,2016
POL,2,3,6,11,2016
PRK,2,3,2,7,2016
BEL,2,2,2,6,2016
THA,2,2,2,6,2016
SVK,2,2,0,4,2016
GEO,2,1,4,7,2016
AZE,1,7,10,18,2016
BLR,1,4,4,9,2016
TUR,1,3,4,8,2016
ARM,1,3,0,4,2016
CZE,1,2,7,10,2016
ETH,1,2,5,8,2016
SLO,1,2,1,4,2016
INA,1,2,0,3,2016
ROU,1,1,2,4,2016
BRN,1,1,0,2,2016
VIE,1,1,0,2,2016
TPE,1,0,2,3,2016
IOA,1,0,1,2,2016
BAH,1,0,1,2,2016
CIV,1,0,1,2,2016
KOS,1,0,0,1,2016
TJK,1,0,0,1,2016
FIJ,1,0,0,1,2016
JOR,1,0,0,1,2016
PUR,1,0,0,1,2016
SIN,1,0,0,1,2016
MAS,0,4,1,5,2016
MEX,0,3,2,5,2016
VEN,0,2,1,3,2016
ALG,0,2,0,2,2016
IRL,0,2,0,2,2016
LTU,0,1,3,4,2016
BUL,0,1,2,3,2016
MGL,0,1,1,2,2016
IND,0,1,1,2,2016
NIG,0,1,0,1,2016
PHI,0,1,0,1,2016
QAT,0,1,0,1,2016
BDI,0,1,0,1,2016
GRN,0,1,0,1,2016
NOR,0,0,4,4,2016
EGY,0,0,3,3,2016
TUN,0,0,3,3,2016
NGR,0,0,1,1,2016
DOM,0,0,1,1,2016
EST,0,0,1,1,2016
TTO,0,0,1,1,2016
UAE,0,0,1,1,2016
AUT,0,0,1,1,2016
POR,0,0,1,1,2016
FIN,0,0,1,1,2016
MAR,0,0,1,1,2016
NOR,14,14,11,39,2018
GER,14,10,7,31,2018
CAN,11,8,10,29,2018
USA,9,8,6,23,2018
NED,8,6,6,20,2018
SWE,7,6,1,14,2018
KOR,5,8,4,17,2018
SUI,5,6,4,15,2018
FRA,5,4,6,15,2018
AUT,5,3,6,14,2018
JPN,4,5,4,13,2018
ITA,3,2,5,10,2018
OAR,2,6,9,17,2018
CZE,2,2,3,7,2018
BLR,2,1,0,3,2018
CHN,1,6,2,9,2018
SVK,1,2,0,3,2018
FIN,1,1,4,6,2018
GBR,1,0,4,5,2018
POL,1,0,1,2,2018
UKR,1,0,0,1,2018
HUN,1,0,0,1,2018
AUS,0,2,1,3,2018
SLO,0,1,1,2,2018
BEL,0,1,0,1,2018
NZL,0,0,2,2,2018
ESP,0,0,2,2,2018
KAZ,0,0,1,1,2018
LIE,0,0,1,1,2018
LAT,0,0,1,1,2018
USA,39,41,33,113,2020
CHN,38,32,19,89,2020
JPN,27,14,17,58,2020
GBR,22,20,22,64,2020
ROC,20,28,23,71,2020
AUS,17,7,22,46,2020
NED,10,12,14,36,2020
FRA,10,12,11,33,2020
GER,10,11,16,37,2020
ITA,10,10,20,40,2020
CAN,7,7,10,24,2020
BRA,7,6,8,21,2020
NZL,7,6,7,20,2020
CUB,7,3,5,15,2020
HUN,6,7,7,20,2020
KOR,6,4,10,20,2020
POL,4,5,5,14,2020
CZE,4,4,3,11,2020
KEN,4,4,2,10,2020
NOR,4,2,2,8,2020
JAM,4,1,4,9,2020
ESP,3,8,6,17,2020
SWE,3,6,0,9,2020
SUI,3,4,6,13,2020
DEN,3,4,4,11,2020
CRO,3,3,2,8,2020
IRI,3,2,2,7,2020
SRB,3,1,5,9,2020
BEL,3,1,3,7,2020
BUL,3,1,2,6,2020
SLO,3,1,1,5,2020
UZB,3,0,2,5,2020
GEO,2,5,1,8,2020
TPE,2,4,6,12,2020
TUR,2,2,9,13,2020
UGA,2,1,1,4,2020
GRE,2,1,1,4,2020
ECU,2,1,0,3,2020
IRL,2,0,2,4,2020
QAT,2,0,1,3,2020
BAH,2,0,0,2,2020
KOS,2,0,0,2,2020
UKR,1,6,12,19,2020
BLR,1,3,3,7,2020
ROU,1,3,0,4,2020
VEN,1,3,0,4,2020
IND,1,2,4,7,2020
HKG,1,2,3,6,2020
SVK,1,2,1,4,2020
PHI,1,2,1,4,2020
RSA,1,2,0,3,2020
AUT,1,1,5,7,2020
EGY,1,1,4,6,2020
INA,1,1,3,5,2020
ETH,1,1,2,4,2020
POR,1,1,2,4,2020
TUN,1,1,0,2,2020
EST,1,0,1,2,2020
FIJ,1,0,1,2,2020
THA,1,0,1,2,2020
LAT,1,0,1,2,2020
BER,1,0,0,1,2020
PUR,1,0,0,1,2020
MAR,1,0,0,1,2020
COL,0,4,1,5,2020
AZE,0,3,4,7,2020
DOM,0,3,2,5,2020
ARM,0,2,2,4,2020
KGZ,0,2,1,3,2020
MGL,0,1,3,4,2020
SMR,0,1,2,3,2020
ARG,0,1,2,3,2020
JOR,0,1,1,2,2020
MAS,0,1,1,2,2020
NGR,0,1,1,2,2020
MKD,0,1,0,1,2020
NAM,0,1,0,1,2020
LTU,0,1,0,1,2020
TKM,0,1,0,1,2020
KSA,0,1,0,1,2020
BRN,0,1,0,1,2020
KAZ,0,0,8,8,2020
MEX,0,0,4,4,2020
FIN,0,0,2,2,2020
BUR,0,0,1,1,2020
SYR,0,0,1,1,2020
GRN,0,0,1,1,2020
MDA,0,0,1,1,2020
CIV,0,0,1,1,2020
BOT,0,0,1,1,2020
GHA,0,0,1,1,2020
KUW,0,0,1,1,2020
NOR,16,8,13,37,2022
GER,12,10,5,27,2022
USA,8,10,7,25,2022
CHN,9,4,2,15,2022
SWE,8,5,5,18,2022
NED,8,5,4,17,2022
AUT,7,7,4,18,2022
SUI,7,2,6,15,2022
ROC,6,12,14,32,2022
FRA,5,7,2,14,2022
CAN,4,8,14,26,2022
JPN,3,6,9,18,2022
ITA,2,7,8,17,2022
KOR,2,5,2,9,2022
SLO,2,3,2,7,2022
FIN,2,2,4,8,2022
NZL,2,1,0,3,2022
AUS,1,2,1,4,2022
GBR,1,1,0,2,2022
HUN,1,0,2,3,2022
CZE,1,0,1,2,2022
SVK,1,0,1,2,2022
BLR,0,2,0,2,2022
ESP,0,1,0,1,2022
UKR,0,1,0,1,2022
BEL,0,1,0,1,2022
EST,0,0,1,1,2022
LVA,0,0,1,1,2022
POL,0,0,1,1,2022
USA,40,44,42,126,2024
CHN,40,27,24,91,2024
AUS,18,19,16,53,2024
FRA,16,26,22,64,2024
GBR,14,22,29,65,2024
KOR,13,9,10,32,2024
JPN,20,12,13,45,2024
ITA,12,13,15,40,2024
NED,15,7,12,34,2024
GER,12,13,8,33,2024
CAN,9,7,11,27,2024
NZL,10,7,3,20,2024
IRL,4,0,3,7,2024
ROU,3,4,1,8,2024
HUN,6,7,6,19,2024
SWE,4,4,3,11,2024
UKR,3,5,4,12,2024
BRA,3,7,10,20,2024
ESP,5,4,9,18,2024
CRO,2,2,3,7,2024
CUB,2,1,6,9,2024
AZE,2,2,3,7,2024
BEL,3,1,6,10,2024
PHI,2,0,2,4,2024
HKG,2,0,2,4,2024
SRB,3,1,1,5,2024
KAZ,1,3,3,7,2024
JAM,1,3,2,6,2024
AIN,1,3,1,5,2024
SUI,1,2,5,8,2024
THA,1,3,2,6,2024
GEO,3,3,1,7,2024
DEN,2,2,5,9,2024
GRE,1,1,6,8,2024
POL,1,4,5,10,2024
KEN,4,2,5,11,2024
RSA,1,3,2,6,2024
ARG,1,1,1,3,2024
UGA,1,1,0,2,2024
CHI,1,1,0,2,2024
LCA,1,1,0,2,2024
ECU,1,2,2,5,2024
TPE,2,0,5,7,2024
UZB,8,2,3,13,2024
IRI,3,6,3,12,2024
INA,2,0,1,3,2024
NOR,4,1,3,8,2024
CZE,3,0,2,5,2024
AUT,2,0,3,5,2024
GUA,1,0,1,2,2024
MAR,1,0,1,2,2024
ALG,2,0,1,3,2024
DMA,1,0,0,1,2024
BRN,2,1,1,4,2024
SLO,2,1,0,3,2024
PRK,0,2,4,6,2024
MEX,0,3,2,5,2024
ARM,0,3,1,4,2024
ETH,1,3,0,4,2024
TUR,0,1,3,4,2024
KGZ,0,2,4,6,2024
LTU,0,2,2,4,2024
TUN,1,1,1,3,2024
KOS,0,1,1,2,2024
FIJ,0,1,0,1,2024
COL,0,3,0,3,2024
MGL,0,1,0,1,2024
CYP,0,1,0,1,2024
TJK,0,0,3,3,2024
IND,0,1,5,6,2024
DOM,1,0,2,3,2024
MAS,0,0,2,2,2024
MDA,0,1,3,4,2024
EGY,1,1,1,3,2024
POR,1,2,1,4,2024
SVK,0,0,1,1,2024
GRN,0,0,2,2,2024
PER,0,0,1,1,2024
CPV,0,0,1,1,2024
ZAM,0,0,1,1,2024
EIR,4,0,3,7,2024
ROM,3,4,2,9,2024
BUL,3,1,3,7,2024
ISR,1,5,1,7,2024
BOT,1,1,0,2,2024
PAK,1,0,0,1,2024
TKE,0,3,5,8,2024
JOR,0,1,0,1,2024
PAN,0,1,0,1,2024
ALB,0,0,2,2,2024
PUR,0,0,2,2,2024
CIV,0,0,1,1,2024
EOR,0,0,1,1,2024
QAT,0,0,1,1,2024
SGP,0,0,1,1,2024
